Loaded 116 unique ZIP entries.
HTTP Server failed: [Errno 48] Address already in use
[15:07:11] MANUAL SEQUENTIAL BURST MODE ACTIVE
[15:07:11] Target: Extracting existing 17 files on HDD.
[15:07:11] STARTING EXTRACTION: takeout1.zip
[15:07:11] STAGING: Copying takeout1.zip to SSD...
[15:07:20] STAGING: Staging to SSD: 1%
[15:07:28] STAGING: Staging to SSD: 2%
[15:07:37] STAGING: Staging to SSD: 3%
[15:07:45] STAGING: Staging to SSD: 4%
[15:07:54] STAGING: Staging to SSD: 5%
[15:08:03] STAGING: Staging to SSD: 6%
[15:08:11] STAGING: Staging to SSD: 7%
[15:08:20] STAGING: Staging to SSD: 8%
[15:08:28] STAGING: Staging to SSD: 9%
[15:08:37] STAGING: Staging to SSD: 10%
[15:08:46] STAGING: Staging to SSD: 11%
[15:08:55] STAGING: Staging to SSD: 12%
[15:09:03] STAGING: Staging to SSD: 13%
[15:09:11] STAGING: Staging to SSD: 14%
[15:09:20] STAGING: Staging to SSD: 15%
[15:09:28] STAGING: Staging to SSD: 16%
[15:09:37] STAGING: Staging to SSD: 17%
[15:09:46] STAGING: Staging to SSD: 18%
[15:09:54] STAGING: Staging to SSD: 19%
[15:10:03] STAGING: Staging to SSD: 20%
[15:10:12] STAGING: Staging to SSD: 21%
[15:10:20] STAGING: Staging to SSD: 22%
[15:10:29] STAGING: Staging to SSD: 23%
[15:10:38] STAGING: Staging to SSD: 24%
[15:10:47] STAGING: Staging to SSD: 25%
[15:10:55] STAGING: Staging to SSD: 26%
[15:11:04] STAGING: Staging to SSD: 27%
[15:11:12] STAGING: Staging to SSD: 28%
[15:11:21] STAGING: Staging to SSD: 29%
[15:11:30] STAGING: Staging to SSD: 30%
[15:11:38] STAGING: Staging to SSD: 31%
[15:11:47] STAGING: Staging to SSD: 32%
[15:11:55] STAGING: Staging to SSD: 33%
[15:12:04] STAGING: Staging to SSD: 34%
[15:12:13] STAGING: Staging to SSD: 35%
[15:12:22] STAGING: Staging to SSD: 36%
[15:12:30] STAGING: Staging to SSD: 37%
[15:12:39] STAGING: Staging to SSD: 38%
